,0
0,1271590.882839078
1,1305511.3735802136
2,1309208.0730239532
3,1324311.6526878702
4,1345846.3708646614
5,1360486.4809570634
6,1356785.0024331966
7,1357987.2999515578
8,1374373.449155863
9,1349649.6359781036
10,1355269.2279524314
11,1371726.43079767
12,1369822.5189470118
13,1356678.6507378886
14,1343319.9805584927
15,1346151.0576362056
16,1371568.0122801443
17,1334407.8057321813
18,1397609.3052824442
19,1409463.6300033762
20,1416722.1712892475
21,1447561.3351205322
22,1425311.760225468
23,1379318.849333734
24,1422707.6749275255
25,1404487.2208286575
26,1377603.3614381833
27,1349012.4777674172
28,1294639.3093400288
29,1276917.425676865
30,1258310.5801729658
31,1232276.8103961404
32,1276206.6247063
33,1262328.441697924
34,1319764.89086639
35,1352144.713178631
36,1340745.2818513627
37,1360513.5130113289
38,1360595.1143676823
39,1370095.5357324246
40,1353935.6986016047
41,1373016.364491184
42,1376065.1298473978
43,1415714.249510705
44,1410691.7252931346
45,1420509.0023633582
46,1417990.0703074955
47,1427946.8986322833
48,1448892.81235111
49,1431537.5909637446
50,1432177.0801206112
51,1450379.7190260636
52,1460905.024779694
53,1439666.2242907658
54,1470341.0100860484
55,1455848.5310005134
56,1452861.6046623446
57,1466311.3000475569
58,1468521.978429538
59,1469559.0392301201
60,1466438.8172585806
61,1492284.233591249
62,1508484.8351217406
63,1513138.859054475
64,1513901.265378233
65,1518629.1963134771
66,1517614.2775444689
67,1499475.8322353584
68,1481947.389113925
69,1508366.2286049735
70,1511910.9893551567
71,1507378.8293060747
72,1519098.6142776392
73,1476280.7845204694
74,1495088.0316144747
75,1501417.1607886096
76,1480625.30257229
77,1482894.3456832496
78,1484115.9601757587
79,1527648.8292666283
80,1518941.8282507632
81,1514557.186290051
82,1511344.8930480154
83,1518921.950746305
84,1502208.8218949155
85,1521984.4447829656
86,1540922.5921673928
87,1522175.3359548473
88,1527977.4236103254
89,1502296.0364018916
90,1527164.1854926697
91,1538284.8082532033
92,1543924.8440293828
93,1569316.7770493631
94,1564384.3182574809
95,1578193.7846959627
96,1580748.6826626756
97,1566549.020913602
98,1567824.5249175017
99,1600387.5953221745
100,1635834.23158153
101,1642857.5930576816
102,1695115.6892733888
103,1735648.6284692758
104,1731270.044888784
105,1758905.024058996
106,1743834.3341537858
107,1787120.1689007236
108,1775985.426383998
109,1774915.3042522774
110,1670413.7355216502
111,1694383.8065154843
112,1742016.1242467647
113,1747147.9381966346
114,1751747.936102217
115,1749802.3801966144
116,1674797.2403434075
117,1696894.5495806478
118,1715136.3627406785
119,1729319.0446311636
120,1734809.901907785
121,1731745.1141656346
122,1731302.7414656633
123,1740560.050819413
124,1726577.2803098522
125,1702359.7477960715
