,0
0,817740.1506491485
1,829155.1815052518
2,847911.2133958361
3,853733.5554666618
4,835660.6319410272
5,842935.0136969879
6,851044.9068651902
7,860358.5539632763
8,845046.3288373288
9,861265.4314186141
10,856550.0148663485
11,875248.0681987944
12,889566.3055513948
13,901940.213190016
14,914378.5072682088
15,939124.1647192774
16,938938.428985574
17,914578.7004215292
18,950542.5292890162
19,949081.2164552857
20,951575.9858366376
21,948704.6984510901
22,968697.2706637807
23,1014242.7679737073
24,1004932.2684505263
25,1006769.0653928297
26,1016856.4446919117
27,1051490.3698733333
28,1066053.9197714876
29,1060531.6157632517
30,1064119.0210476362
31,1039213.1008371884
32,1009586.9971619163
33,1017601.1441525938
34,1026080.5999223092
35,1021585.9866896003
36,1027463.927876283
37,1050723.412796743
38,1073725.2194362339
39,1062842.3248197187
40,1072969.2530728737
41,1081379.8808527905
42,1072930.1821343156
43,1034096.6452578009
44,1031064.5704649033
45,1058824.9889709859
46,1067521.8821933027
47,1104798.4340810485
48,1125645.3851126453
49,1120245.3265617522
50,1136677.791858253
51,1156867.3275120421
52,1181173.206782329
53,1168458.3139765419
54,1187425.2306909915
55,1147589.054743335
56,1143095.1416069355
57,1139464.304719023
58,1170400.3438755996
59,1164326.9662837456
60,1160823.6169598491
61,1172122.5612704759
62,1123647.5467628706
63,1130757.9955335213
64,1129262.542602543
65,1112764.2337425575
66,1106228.117649391
67,1139120.2207950589
68,1134967.6137912811
69,1079041.2512529609
70,1097602.151324794
71,1075471.8559352164
72,1051462.9876948628
73,1087999.4144353247
74,1065968.8713289883
75,1057776.252090184
76,1091052.185442666
77,1093397.5063115652
78,1064844.8036509168
79,1046246.1873851734
80,1062349.2317707362
81,1057683.8293462687
82,1040423.9008426622
83,1049061.295018308
84,1059297.1674626616
85,1076457.2437499496
86,1083622.234262309
87,1072292.762793677
88,1067851.1086052267
89,1072272.0520383206
90,1058034.400730493
91,1044862.9005848162
92,1041065.8296283119
93,1052087.2349301367
94,1089399.0562350934
95,1089894.7662839831
96,1091958.3251294661
97,1089097.903308481
98,1092668.2861309503
99,1095846.1362354713
100,1108008.5530107038
101,1140141.5210799684
102,1138400.0117402493
103,1146773.3524833038
104,1136517.5031467122
105,1140441.0271043957
106,1153975.0165202047
107,1152391.1856064084
108,1187697.1550031381
109,1196036.7742115615
110,1178758.0964561566
111,1172246.138542119
112,1188733.1333296422
113,1160677.8183448263
114,1159116.034974144
115,1151572.4287131333
116,1158542.0622310033
117,1169684.6529297174
118,1175580.6037441362
119,1161885.4746897656
120,1162409.6213583122
121,1153166.8140466013
122,1157700.9944388892
123,1159011.6969472915
124,1153994.7357314646
125,1165814.9026069734
