,0
0,1595199.3870862455
1,1609756.4857978655
2,1583772.2233030405
3,1568191.2674101954
4,1568452.7558372007
5,1613525.7626297201
6,1688849.7639393394
7,1707038.5855540773
8,1657167.8951041473
9,1621331.295769822
10,1633632.811207182
11,1654160.233716014
12,1653640.5375359054
13,1633290.4014604255
14,1642118.1785311578
15,1675770.5535127416
16,1649117.1611012747
17,1648520.728210011
18,1647486.2136450256
19,1644638.854651683
20,1627159.859525073
21,1587389.1573319521
22,1636429.5248632631
23,1602214.448222149
24,1616354.9749713687
25,1624022.7122354358
26,1632782.3684254105
27,1643355.0379683275
28,1640773.6988905317
29,1633525.1069062774
30,1698653.717835772
31,1681878.5138165974
32,1660870.949418039
33,1651414.4176631977
34,1635495.266424785
35,1631006.5887428906
36,1634564.832570154
37,1628125.3379522327
38,1608810.5488684538
39,1631501.145263329
40,1689613.350586563
41,1692021.5802681937
42,1679478.1741384172
43,1689781.0539429816
44,1699597.130654251
45,1689216.8447758462
46,1695589.4202619644
47,1715079.868104302
48,1691754.1407455024
49,1663354.9628020143
50,1635259.6034680756
51,1651003.0586310893
52,1653948.3673263995
53,1655764.313418947
54,1619516.918463818
55,1616187.422494355
56,1631677.1627265057
57,1648320.3306926973
58,1663724.285578256
59,1652205.790086812
60,1684121.367285703
61,1660996.9159061832
62,1675984.739880754
63,1663957.9384813989
64,1633075.0124988912
65,1655959.327547582
66,1665095.8975520364
67,1674471.3456866408
68,1661007.8831388843
69,1662772.4475880226
70,1681142.1265809436
71,1671949.7094852426
72,1653979.4243695086
73,1644673.627777479
74,1685647.4898300215
75,1678565.213139446
76,1702691.666664205
77,1690536.3045310217
78,1680530.478626636
79,1675309.8516271152
80,1651389.2814594992
81,1640510.9237763335
82,1620877.971235176
83,1606893.9666805333
84,1592980.233975222
85,1588605.812069287
86,1604081.856487618
87,1604989.4761108754
88,1637774.516969084
89,1627998.3319443152
90,1629484.9744045746
91,1586121.9779726993
92,1597230.3886345422
93,1601725.0940990075
94,1618308.206759444
95,1612507.0732069553
96,1605244.4240599682
97,1617812.5073564823
98,1638809.6694020615
99,1632874.9318614034
100,1629835.1356651601
101,1678963.3561601937
102,1695050.7140933261
103,1711238.5664117562
104,1701588.166150067
105,1770343.1463055213
106,1743557.6804870884
107,1719990.9138098655
108,1733598.9279679807
109,1719460.9994321542
110,1699137.1683343824
111,1683199.474784516
112,1688518.3390488047
113,1670199.5586292618
114,1678796.3368870572
115,1642794.237779788
116,1645789.9557945784
117,1621339.3233161771
118,1602016.712796343
119,1603816.592685202
120,1611217.8866771304
121,1600464.5342927598
122,1571320.6974392594
123,1592316.9874300621
124,1588813.0600211823
125,1609790.6470800156
