,0
0,-35370.54623752134
1,-1629.8376147928648
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,55.16471036756411
15,7885.926378021482
16,-218.21181108476594
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,53.74380451650359
27,833.4993265361991
28,1796.731782771647
29,-2835.5774879937526
30,-53.38193278899416
31,-169.06290059676394
32,-35.13175201253034
33,0.0
34,-24.418512241682038
35,-151.47301931865513
36,-377.6415218312759
37,1068.140972269699
38,425.98824598197825
39,-68.01074894494377
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,-1319.7046700001229
83,1.0036784757394344
84,-54.92328712763265
85,3.616249460959807
86,1749.0857174070552
87,505.61963292444125
88,-4132.161412821384
89,-383.7824327405542
90,6343.916498300619
91,-21524.398834274383
92,-2401.23930844781
93,2073.960043784231
94,-336.67327801370993
95,-2906.460607742425
96,-586.6978280739859
97,352.4139837271068
98,654.4539148409385
99,-1766.3292943469714
100,3770.57363375579
101,-606.7242862514686
102,93.77985135628842
103,-568.5759205492213
104,-460.01281427708454
105,-3139.8621116608847
106,-3016.3947325251065
107,-12991.589993479894
108,-21119.11820030166
109,6254.998412600486
110,-1405.905298497295
111,-1466.198437701445
112,13806.933128969977
113,173.90247981389984
114,-194.93839498632587
115,915.2196916209068
116,-535.4609329435043
117,6209.925215737661
118,1814.3782413874287
119,-165.99349026894197
120,-727.5681566626299
121,1314.2691887887195
122,222.59982116147876
123,-947.6344945316669
124,7630.6407913086005
