,0
0,817740.1506491485
1,829081.3475839939
2,847149.3768425989
3,852888.3501557936
4,835610.4718203828
5,842525.0231358402
6,850338.9147943179
7,859082.7098909211
8,844693.5075643989
9,859520.8350731932
10,855273.5097065298
11,871948.8740021215
12,884974.8617733385
13,895437.9378144651
14,906542.7342111453
15,928501.8173989849
16,928250.8048520263
17,906245.9008228395
18,937386.3794825822
19,935798.120367778
20,938161.7321717981
21,936949.5870862836
22,952282.772473767
23,988189.0559549873
24,979904.1347038577
25,979879.3559804752
26,988921.7266840468
27,1013198.4562205179
28,1025659.2347858603
29,1021093.7721913902
30,1022590.1314861173
31,1003287.5429735938
32,983322.9075510948
33,988232.3177513933
34,996271.5430867914
35,989738.8848791795
36,994217.9665835337
37,1011330.4193283392
38,1026828.8265071157
39,1019974.8877801794
40,1026948.9404330272
41,1032194.1699352178
42,1026447.3686566326
43,1001576.5924436501
44,1000063.0463900007
45,1015634.7344951461
46,1019130.5677773233
47,1041644.2864631417
48,1056149.311267775
49,1052327.213350411
50,1065640.7137942433
51,1083169.3220294183
52,1095039.3446081108
53,1088062.2844039486
54,1099741.4863689183
55,1076553.793184376
56,1071629.8456985382
57,1069406.0488674082
58,1086949.7363879117
59,1090363.3998367891
60,1086492.8727385665
61,1091703.9849734707
62,1061714.6915771803
63,1063900.6137609729
64,1063525.5645162193
65,1050537.649506726
66,1045299.3096978894
67,1058996.7490476286
68,1059796.4271129325
69,1030826.4541121158
70,1041227.5756117546
71,1031114.7665193351
72,1021619.5062074241
73,1039629.1617686548
74,1026077.5406338056
75,1021872.8479848288
76,1034720.7443476991
77,1038884.9620069249
78,1024138.3979497321
79,1016480.7490738826
80,1023478.2146690409
81,1019086.6893407004
82,1007367.9544009959
83,1011038.4633982666
84,1015852.5384726278
85,1028481.8830012192
86,1027981.635726755
87,1021353.0319774555
88,1019367.463403619
89,1021972.0588889369
90,1019365.5414482513
91,1017645.4752629262
92,1018845.2094654321
93,1021036.6292453343
94,1035617.7055276905
95,1037543.1657709386
96,1035416.9486277613
97,1032134.2237673181
98,1033712.4750394262
99,1031316.8234554109
100,1036069.2974929138
101,1048593.2223088467
102,1049111.1237493507
103,1052540.2169538322
104,1048571.7085064724
105,1052309.9063343876
106,1054749.5415841069
107,1055347.313583348
108,1064329.0719835442
109,1072223.8948134705
110,1070232.6656314898
111,1072032.7467785596
112,1074911.3989379345
113,1062156.3572004824
114,1062523.4318743479
115,1053840.1599399063
116,1054269.0567584238
117,1052364.6571535957
118,1056881.1847663585
119,1052291.231730134
120,1053914.2431151143
121,1048066.0800717818
122,1049371.3998845145
123,1046089.04279473
124,1050583.644609949
125,1061080.7034079854
