,0
0,1061080.7034079854
1,1060191.1535424732
2,1062665.8170651111
3,1065334.0823392768
4,1061325.0201929559
5,1057749.9211923121
6,1050989.3658030108
7,1041622.3567255102
8,1044911.5252970959
9,1042685.8675420911
10,1052254.3934249585
11,1051653.1944929995
12,1059407.884860907
13,1053585.483821884
14,1068014.0963739261
15,1071780.89183554
16,1075903.400253564
17,1080693.8846160201
18,1087265.7376803712
19,1083175.303252065
20,1103066.9299937633
21,1127966.0906561357
22,1106845.6655610453
23,1118883.3303712553
24,1118628.3472493228
25,1118725.2354558199
26,1138538.5270201415
27,1135615.2809924306
28,1131094.4568382886
29,1125610.9815531264
30,1140875.5706307553
31,1148568.355128883
32,1145200.1090079877
33,1137327.833768147
34,1115606.4924014644
35,1126854.220817708
36,1127337.012824998
37,1119861.8403068471
38,1156392.903052241
39,1154618.1351489944
40,1164566.1470619794
41,1154749.9617527705
42,1180015.9041822504
43,1169586.3670360688
44,1163064.4209757282
45,1166839.9287561795
46,1149579.696289789
47,1159908.1665915225
48,1141131.0863934008
49,1158704.7582333742
50,1169444.8872895597
51,1176301.2615774134
52,1191785.3348111515
53,1179361.0573286056
54,1180253.5957776064
55,1172358.0620498527
56,1165435.1599036015
57,1169390.759554489
58,1164984.6406942932
59,1163069.5984966527
60,1182743.3690695406
61,1198322.9036383475
62,1197334.6235740269
63,1194179.701031121
64,1197745.522241686
65,1205243.8005181982
66,1204184.2890957892
67,1200751.5907165702
68,1200156.4162688267
69,1199609.3920068976
70,1200175.3276032368
71,1188952.4032175536
72,1191474.4376228112
73,1196932.4852409672
74,1207800.7138234812
75,1202354.3879788476
76,1201832.9679594997
77,1213194.6126887524
78,1210134.2397221974
79,1199082.3737446517
80,1183211.9622252379
81,1181014.9604504025
82,1186247.2494918902
83,1189857.8291291983
84,1188524.3925968548
85,1171375.8372827766
86,1161075.017873493
87,1162231.6548386253
88,1166815.6341974477
89,1169287.2548328354
90,1176695.3630819477
91,1157619.376936179
92,1164515.4414245225
93,1166324.1930976277
94,1162385.9821724934
95,1175649.6283165147
96,1166763.2455412857
97,1171352.1941077686
98,1164356.2654887275
99,1165081.208052684
100,1165752.7554571407
101,1167553.677757653
102,1163371.6444871053
103,1157188.7735774778
104,1164919.9105962398
105,1165188.715275052
106,1172511.8719184343
107,1186665.7225564334
108,1189722.3769719943
109,1177383.3663585726
110,1162536.0736834956
111,1168289.5977913658
112,1165955.9417541276
113,1181985.9341149782
114,1186643.9857226051
115,1187922.9105516083
116,1178182.4987006937
117,1180176.4452025755
118,1174832.7388487032
119,1204570.9721685476
120,1201120.2407337844
121,1198328.7924078081
122,1197804.3075488864
123,1177542.6686438029
124,1148113.9169338653
125,1167621.2109645621
