,0
0,1583424.7149698567
1,1614350.2643209812
2,1612735.943980661
3,1612735.943980661
4,1612735.943980661
5,1612735.943980661
6,1612735.943980661
7,1612735.943980661
8,1612735.943980661
9,1612735.943980661
10,1612735.943980661
11,1612735.943980661
12,1612735.943980661
13,1612735.943980661
14,1612735.943980661
15,1615712.4384765185
16,1631499.6602317744
17,1631075.9633949897
18,1631075.9633949897
19,1631075.9633949897
20,1631075.9633949897
21,1631075.9633949897
22,1631075.9633949897
23,1631075.9633949897
24,1631075.9633949897
25,1631075.9633949897
26,1631075.9633949897
27,1635151.1418007212
28,1639191.481962997
29,1645475.3075354649
30,1626391.2445741151
31,1644025.3296517143
32,1713637.5663925281
33,1712299.819285673
34,1712299.819285673
35,1712956.0805931254
36,1702601.0892348844
37,1698946.4367826711
38,1703242.9827447245
39,1716050.8213264344
40,1714994.2452367302
41,1714994.2452367302
42,1714994.2452367302
43,1714994.2452367302
44,1714994.2452367302
45,1714994.2452367302
46,1714994.2452367302
47,1714994.2452367302
48,1714994.2452367302
49,1714994.2452367302
50,1714994.2452367302
51,1714994.2452367302
52,1714994.2452367302
53,1714994.2452367302
54,1714994.2452367302
55,1714994.2452367302
56,1714994.2452367302
57,1714994.2452367302
58,1714994.2452367302
59,1714994.2452367302
60,1714994.2452367302
61,1714994.2452367302
62,1714994.2452367302
63,1714994.2452367302
64,1714994.2452367302
65,1714994.2452367302
66,1714994.2452367302
67,1714994.2452367302
68,1714994.2452367302
69,1714994.2452367302
70,1714994.2452367302
71,1714994.2452367302
72,1714994.2452367302
73,1714994.2452367302
74,1714994.2452367302
75,1714994.2452367302
76,1714994.2452367302
77,1714994.2452367302
78,1714994.2452367302
79,1714994.2452367302
80,1714994.2452367302
81,1714994.2452367302
82,1714994.2452367302
83,1713696.0561150368
84,1712318.5016002257
85,1701202.9071740564
86,1712846.3432897124
87,1735028.4309086422
88,1741176.7105281292
89,1711084.9955999262
90,1706597.4135122888
91,1745294.2471467531
92,1669727.718658356
93,1654875.503271982
94,1671042.09634464
95,1663570.7080389056
96,1646994.353177147
97,1636175.0540660769
98,1626976.9210290667
99,1644701.3960306658
100,1626648.5008557069
101,1656559.755600145
102,1622322.1293053087
103,1637255.868809105
104,1641315.1948114426
105,1632681.7449309372
106,1610457.1726643785
107,1577818.545795964
108,1498493.0677816698
109,1423575.5363495592
110,1468480.4136432665
111,1452578.4210280625
112,1395966.654960643
113,1459745.963870543
114,1455595.3655709093
115,1435284.9503050218
116,1415759.6208642686
117,1392532.0805368943
118,1412985.9318014514
119,1497432.9166502368
120,1458286.0738210983
121,1409449.4038276474
122,1417699.9471240218
123,1417554.2499306137
124,1366429.0637123033
125,1355970.2161165269
