,0
0,1254522.397134489
1,1293183.6631761775
2,1298376.856756758
3,1293530.2192340672
4,1322492.5887292016
5,1328070.8187006377
6,1320788.716825897
7,1319755.0681843534
8,1339431.635842107
9,1326470.6747512908
10,1334785.4269625281
11,1355564.0080532322
12,1356535.991209572
13,1342026.1973246299
14,1332067.527083919
15,1332203.9081742363
16,1344645.6705477417
17,1311749.1122502643
18,1352524.5291305962
19,1365912.7019855212
20,1377692.3373329828
21,1397940.8996778731
22,1376713.8412864518
23,1346229.2993645358
24,1373951.3738710328
25,1362705.6731629854
26,1348057.6420629653
27,1329019.6775645076
28,1287262.4172549648
29,1276405.9783145057
30,1251854.8080436715
31,1230109.2475751229
32,1262290.0972195985
33,1236233.7173049613
34,1274468.8059650115
35,1299557.7620149418
36,1288530.2110928693
37,1299929.1991831046
38,1304112.4209546684
39,1294043.076706272
40,1286531.489630023
41,1294945.4237643315
42,1290909.5635229845
43,1322584.5902290263
44,1317232.7179830086
45,1319518.0547049693
46,1318091.8407449764
47,1324935.6456355564
48,1340712.6309791415
49,1325704.4050098339
50,1329348.7239775422
51,1353191.2305944297
52,1359788.3036927434
53,1342734.233977026
54,1363172.1075114803
55,1353736.1642083647
56,1350088.9962491966
57,1361611.6404749872
58,1368141.7196253038
59,1376425.0190386714
60,1381675.9674833645
61,1392536.8070151308
62,1399263.8002942067
63,1409462.9061413358
64,1418241.5840521206
65,1410887.0463487667
66,1405742.9555911731
67,1379729.3171487115
68,1365711.8659549844
69,1379698.934640675
70,1385064.0907552813
71,1377008.270091017
72,1372094.3625033386
73,1341596.1178026828
74,1341148.4213524307
75,1348371.9193123598
76,1332931.429196033
77,1340479.6895753397
78,1329539.7177760862
79,1356569.5590421497
80,1354726.8135167486
81,1366149.8951462624
82,1351373.98585506
83,1350179.989364693
84,1357450.1406209306
85,1366814.0063973016
86,1372560.8184753659
87,1360618.335694424
88,1349324.8382470289
89,1333196.7708792489
90,1344015.056956359
91,1339508.2161032383
92,1345539.037732573
93,1360000.2303754624
94,1352491.1369868126
95,1342035.8166510714
96,1357951.4803445744
97,1327786.7006992102
98,1333706.4953126418
99,1378808.8854864514
100,1432113.144875679
101,1482479.3763753532
102,1566449.5381025816
103,1556088.7173967268
104,1599354.0432871797
105,1636526.9004174578
106,1568436.991558278
107,1593434.4910858928
108,1590891.7852852151
109,1568731.1240755108
110,1485538.3832926054
111,1493813.4333745549
112,1613796.490477256
113,1602446.5598618512
114,1593569.2435452992
115,1583278.5182121508
116,1515164.8490042775
117,1524059.6036033297
118,1522132.1403816666
119,1560287.5727227605
120,1554863.625828261
121,1558037.1102178995
122,1589499.1230481071
123,1613234.9541571753
124,1588104.6608152136
125,1595199.3870862455
