,0
0,1000000.0
1,999984.3307580721
2,999993.3766045814
3,1000040.1695055112
4,1000101.593799805
5,1000144.816678358
6,1000085.8274556389
7,1000101.7038640883
8,1000406.6358180334
9,1000438.4302470321
10,1000728.8352154177
11,1000803.3750284706
12,1000915.517250728
13,1000644.8458875616
14,1001134.04256415
15,1001756.415674329
16,1001256.442955667
17,1001775.4600298867
18,1001120.1797093633
19,1000197.4189898017
20,1000213.4420275448
21,1000597.1514719294
22,1001666.9646860396
23,1002440.4378930886
24,999854.7914445285
25,998445.4179775759
26,995964.4032061894
27,991563.1162226505
28,991483.9890754167
29,991874.9609355276
30,991754.8600882174
31,993145.4834651949
32,993672.4269499012
33,994881.3960618573
34,993810.2414216028
35,992437.0956922541
36,992663.1794648822
37,991888.4454567704
38,991954.9663759513
39,993249.3925915816
40,992889.3634118027
41,993143.3920989055
42,993315.0139930185
43,993894.5909236695
44,992743.6359341585
45,992404.9745573716
46,992869.8797091485
47,992101.2133521535
48,992840.9133968272
49,993273.0698501365
50,993223.2934861537
51,992688.1127432198
52,989710.8979981447
53,988077.7795010417
54,988723.6041222002
55,986252.4446363333
56,988300.5272490858
57,987451.4294908148
58,987486.7370740486
59,986817.2695697213
60,986585.1387290484
61,987839.5137579896
62,990933.586003984
63,990967.9677488746
64,989990.1673849612
65,987962.28939297
66,983556.1714746912
67,983425.9542529907
68,985523.737748794
69,986531.0856904397
70,983572.9571491077
71,985127.4501630487
72,988626.5481481485
73,986245.3911430956
74,984134.2525650986
75,986688.0728003907
76,986567.0236884012
77,989145.0447350249
78,987636.0265412474
79,990671.5271817364
80,992563.945323954
81,992421.6843804385
82,993512.4734922749
83,991767.6844221151
84,992221.8236550972
85,991984.3245286671
86,989114.7927764076
87,988966.5490135741
88,992831.8767864639
89,992507.8830858585
90,991047.5981627712
91,986713.0531036044
92,985915.7777388026
93,985056.7321066854
94,983742.1042013844
95,983584.6138422326
96,976319.296888214
97,980274.2228114333
98,980560.3055677095
99,983133.4207925091
100,982957.4531300284
101,980403.1177236636
102,982529.1972803773
103,977575.1861496691
104,975830.8739992377
105,976928.2573951583
106,975997.4621194224
107,976191.9611401795
108,975152.9450443899
109,971338.1658622602
110,968827.4860366996
111,963775.9761206191
112,962557.6020114871
113,957739.4133182608
114,956317.9721963068
115,957123.5769882498
116,958814.258862626
117,963141.425315834
118,954006.4643605074
119,957493.291391724
120,956088.8099253281
121,957416.931926874
122,958888.6319035062
123,964172.226504707
124,964060.074323309
125,957648.3098140042
