,0
0,1554015.9218499865
1,1561608.4717285004
2,1560047.0910826954
3,1560047.0910826954
4,1560047.0910826954
5,1560047.0910826954
6,1560047.0910826954
7,1560047.0910826954
8,1560047.0910826954
9,1560047.0910826954
10,1560047.0910826954
11,1560047.0910826954
12,1560047.0910826954
13,1560047.0910826954
14,1560047.0910826954
15,1563208.5611417359
16,1578876.916331517
17,1578436.6104445762
18,1578436.6104445762
19,1578436.6104445762
20,1578436.6104445762
21,1578436.6104445762
22,1578436.6104445762
23,1578436.6104445762
24,1578436.6104445762
25,1578436.6104445762
26,1578436.6104445762
27,1582318.2147503174
28,1584919.2959398408
29,1589518.9738428073
30,1575234.150835889
31,1589061.6876191983
32,1642717.598144419
33,1641629.069469967
34,1641629.069469967
35,1642404.0702319834
36,1641675.7426219836
37,1639285.2879725685
38,1640388.4861599053
39,1642987.5871549072
40,1642611.0762561967
41,1642611.0762561967
42,1642611.0762561967
43,1642611.0762561967
44,1642611.0762561967
45,1642611.0762561967
46,1642611.0762561967
47,1642611.0762561967
48,1642611.0762561967
49,1642611.0762561967
50,1642611.0762561967
51,1642611.0762561967
52,1642611.0762561967
53,1642611.0762561967
54,1642611.0762561967
55,1642611.0762561967
56,1642611.0762561967
57,1642611.0762561967
58,1642611.0762561967
59,1642611.0762561967
60,1642611.0762561967
61,1642611.0762561967
62,1642611.0762561967
63,1642611.0762561967
64,1642611.0762561967
65,1642611.0762561967
66,1642611.0762561967
67,1642611.0762561967
68,1642611.0762561967
69,1642611.0762561967
70,1642611.0762561967
71,1642611.0762561967
72,1642611.0762561967
73,1642611.0762561967
74,1642611.0762561967
75,1642611.0762561967
76,1642611.0762561967
77,1642611.0762561967
78,1642611.0762561967
79,1642611.0762561967
80,1642611.0762561967
81,1642611.0762561967
82,1642611.0762561967
83,1641198.904620975
84,1640281.1286268947
85,1629352.8323601326
86,1636764.1206363644
87,1654179.0681516323
88,1659169.2762892141
89,1633927.5635716114
90,1630404.0735233037
91,1665821.1197050277
92,1593105.671736644
93,1577639.8502451284
94,1591843.9072631893
95,1585201.2436367911
96,1568978.7500949341
97,1559813.8402580628
98,1552016.6483971523
99,1565594.9966243298
100,1546855.3165215338
101,1574322.573485118
102,1545614.7251892271
103,1560719.6465671193
104,1566919.5456089415
105,1558455.7195725418
106,1538724.623415227
107,1509307.4748946733
108,1443134.3030162458
109,1368979.71225361
110,1410896.8200996288
111,1396706.64350063
112,1344147.4699008053
113,1402592.6822378237
114,1403868.7444171892
115,1385249.4993398292
116,1366428.139361139
117,1344607.3038042572
118,1366649.6083500604
119,1441734.505181932
120,1405968.887783327
121,1360272.456234917
122,1368363.3379131127
123,1366425.2263568558
124,1323478.9441801165
125,1316870.5457159148
