,0
0,974256.5333186125
1,1000213.3238331552
2,992107.9376951292
3,978044.5762428174
4,984432.0816744872
5,986338.4610690454
6,1014225.6850175356
7,1003085.6044398044
8,1012278.3560214969
9,1021221.4429134857
10,1008474.2759877453
11,1007832.1793917126
12,1007176.4913040167
13,1004501.1459406253
14,987381.1168557669
15,981248.871846091
16,962112.398801803
17,938916.5557398779
18,966635.2688164398
19,955483.2494342242
20,988207.691108197
21,998151.7149646841
22,990648.3636575332
23,991427.4114420315
24,958387.4330598573
25,958583.9504451785
26,941279.5183466476
27,942719.2260353775
28,967920.658228237
29,963084.0076751837
30,972351.5353929228
31,980612.6728981696
32,1003130.3376537925
33,1001185.1591623301
34,1000066.1945487449
35,978135.437634668
36,973977.7319502603
37,970171.5525740237
38,978403.5433575754
39,955120.746509402
40,946382.0427558573
41,960046.1831137524
42,945452.1923672201
43,942097.3428787356
44,927181.0670170409
45,922522.7686183609
46,916762.8461772085
47,898717.1276076986
48,922135.9645002199
49,935449.2247141015
50,936856.3392973165
51,974287.7544541704
52,966385.0972961192
53,988181.4540929489
54,988230.7957329537
55,996096.782605317
56,947254.3937934402
57,945735.1138061491
58,945597.8747125296
59,908051.8881773466
60,928079.0706910474
61,920209.0960766851
62,925369.4341792265
63,927759.3819026119
64,895113.282611102
65,927059.7207004237
66,977231.9378367541
67,950809.2774054394
68,952817.2761156656
69,954817.1946610968
70,947482.7162931293
71,910746.6825011709
72,924362.2984089843
73,945850.7893183937
74,951041.1081594557
75,994896.8633843216
76,984598.505061933
77,980415.0726963787
78,969863.6550109858
79,975002.2433092555
80,949843.720746816
81,955017.5540324236
82,960292.4949090647
83,946839.3572389096
84,958571.3928722842
85,952346.6075246193
86,963789.5334915178
87,944636.0044032888
88,946348.1143441788
89,941943.2396825174
90,926495.6520458279
91,930979.6165753196
92,927749.7218496348
93,941192.4637817985
94,937211.1017750402
95,947700.3622219381
96,974881.6568378474
97,975754.6077130449
98,970184.0333197475
99,944680.4544777481
100,929617.7850944799
101,925665.1932006628
102,931654.2651325299
103,930493.5578028734
104,942313.8764199526
105,928333.218479932
106,928825.4700719012
107,919227.0877155552
108,901208.4955482708
109,883711.9918136148
110,866304.2792809514
111,873003.9289012932
112,863566.9134679694
113,853850.6002633106
114,851138.0244531434
115,857906.7837318161
116,842221.4066504901
117,841760.9155199098
118,864352.6789407701
119,861356.9029609611
120,855706.5216759252
121,870394.5056145007
122,871964.6461815815
123,882977.7596148561
124,875123.7735442611
125,890893.5161709295
