,0
0,2089538.0467539204
1,2088749.6480129105
2,2087119.8103981176
3,2087119.8103981176
4,2087119.8103981176
5,2087119.8103981176
6,2087119.8103981176
7,2087119.8103981176
8,2087119.8103981176
9,2087119.8103981176
10,2087119.8103981176
11,2087119.8103981176
12,2087119.8103981176
13,2087119.8103981176
14,2087119.8103981176
15,2087174.9751084852
16,2095060.9014865067
17,2094842.689675422
18,2094842.689675422
19,2094842.689675422
20,2094842.689675422
21,2094842.689675422
22,2094842.689675422
23,2094842.689675422
24,2094842.689675422
25,2094842.689675422
26,2094842.689675422
27,2094896.4334799384
28,2095729.9328064746
29,2097526.6645892463
30,2094691.0871012525
31,2094637.7051684635
32,2094468.6422678668
33,2094433.5105158542
34,2094433.5105158542
35,2094409.0920036125
36,2094257.618984294
37,2093879.9774624626
38,2094948.1184347323
39,2095374.1066807143
40,2095306.0959317693
41,2095306.0959317693
42,2095306.0959317693
43,2095306.0959317693
44,2095306.0959317693
45,2095306.0959317693
46,2095306.0959317693
47,2095306.0959317693
48,2095306.0959317693
49,2095306.0959317693
50,2095306.0959317693
51,2095306.0959317693
52,2095306.0959317693
53,2095306.0959317693
54,2095306.0959317693
55,2095306.0959317693
56,2095306.0959317693
57,2095306.0959317693
58,2095306.0959317693
59,2095306.0959317693
60,2095306.0959317693
61,2095306.0959317693
62,2095306.0959317693
63,2095306.0959317693
64,2095306.0959317693
65,2095306.0959317693
66,2095306.0959317693
67,2095306.0959317693
68,2095306.0959317693
69,2095306.0959317693
70,2095306.0959317693
71,2095306.0959317693
72,2095306.0959317693
73,2095306.0959317693
74,2095306.0959317693
75,2095306.0959317693
76,2095306.0959317693
77,2095306.0959317693
78,2095306.0959317693
79,2095306.0959317693
80,2095306.0959317693
81,2095306.0959317693
82,2095306.0959317693
83,2093986.3912617692
84,2093987.394940245
85,2093932.4716531173
86,2093936.0879025783
87,2095685.1736199853
88,2096190.7932529098
89,2092058.6318400884
90,2091674.8494073479
91,2098018.7659056485
92,2076494.367071374
93,2074093.1277629263
94,2076167.0878067105
95,2075830.4145286968
96,2072923.9539209544
97,2072337.2560928804
98,2072689.6700766075
99,2073344.1239914484
100,2071577.7946971015
101,2075348.3683308573
102,2074741.6440446058
103,2074835.423895962
104,2074266.8479754128
105,2073806.8351611358
106,2070666.9730494749
107,2067650.5783169498
108,2054658.9883234699
109,2033539.8701231682
110,2039794.8685357687
111,2038388.9632372714
112,2036922.76479957
113,2050729.69792854
114,2050903.6004083538
115,2050708.6620133675
116,2051623.8817049884
117,2051088.420772045
118,2057298.3459877826
119,2059112.72422917
120,2058946.730738901
121,2058219.1625822384
122,2059533.4317710272
123,2059756.0315921886
124,2058808.397097657
125,2066439.0378889656
