,0
0,957648.3098140042
1,963334.909551127
2,963140.8403869236
3,957060.857757226
4,954985.4200211472
5,957894.7028059924
6,968423.6054555149
7,963883.7080949289
8,980642.1626075148
9,979032.6651279338
10,968675.1727051884
11,970522.2653006029
12,955897.8353862545
13,961910.2980699553
14,945099.2759576099
15,923344.4331100851
16,907106.9618526152
17,894500.6359840513
18,918051.2349612889
19,905841.1975379908
20,923738.8934183895
21,919981.5145703292
22,911046.8375815495
23,912282.989621564
24,889357.4828988275
25,878555.2013485375
26,864593.3532719861
27,876434.5105570155
28,899838.7626555914
29,896140.8456894994
30,900814.233852351
31,897610.6344350491
32,921947.3985947052
33,915644.3028571587
34,918227.3658830068
35,906776.6439885726
36,892744.2381812454
37,895635.349069865
38,905107.1469929722
39,884789.5859054495
40,873319.1715842383
41,879439.0408423548
42,869574.4020498041
43,869614.5809772394
44,857430.1692497362
45,862563.3920037872
46,866928.4588715646
47,863884.3581888361
48,884495.2970969488
49,899524.8108112592
50,897483.0621173717
51,927128.539020011
52,921388.4147627351
53,948437.3938880813
54,947016.896047916
55,954023.0845772387
56,905056.9788079406
57,909269.0553563442
58,894690.8451853389
59,861910.3502628984
60,882731.6619609143
61,875591.4026596419
62,877866.4170821251
63,879233.0150846216
64,856194.3604821308
65,887165.0786045048
66,927270.436882925
67,883270.184438397
68,883916.084830873
69,878229.2933810963
70,866747.0866709796
71,817978.2892165957
72,813156.661743383
73,833668.6561315097
74,842460.5696210853
75,877301.6051411552
76,861146.3455013579
77,854531.3192955184
78,847640.195501473
79,848567.9457120013
80,834344.8748247579
81,834459.1638413926
82,846514.5826737252
83,832196.5685699276
84,843370.6504890539
85,842142.491512662
86,851514.0062722816
87,834552.8069058125
88,834387.0986565867
89,831852.9953104728
90,817981.4793484493
91,816245.0165759054
92,813761.1113440389
93,824575.31419383
94,818202.7626929705
95,829581.0171875327
96,859702.6872492982
97,860117.1983526027
98,859160.247670286
99,838576.6358731681
100,831412.8826027658
101,825845.8035346796
102,829884.8762379182
103,831920.420127102
104,843942.2220095287
105,831786.7370065468
106,833034.4903463048
107,826270.7410095778
108,816292.179598606
109,807912.7540297031
110,796163.6345980158
111,799254.1454875397
112,791372.7817057867
113,785811.2383344624
114,783147.9066908647
115,788583.2195782238
116,778579.7403837728
117,777806.8788749716
118,797562.4071187184
119,795340.5524463254
120,791164.8533947564
121,804967.8558996308
122,803688.7518162329
123,811611.98905202
124,802192.5770029697
125,818999.1295681859
