Date,ppo_strategy,a2c_strategy,ddpg_strategy,ensemble_strategy,SSE 50 Index
2018/5/7,0.001910238,0.015642164,0.01251342,0.01251342,0.01416813
2018/5/8,-0.000143327,-0.000768685,-0.000583726,-0.000583726,0.014543033
2018/5/9,0.001099119,0.023979968,0.007026231,0.007026231,-0.002071593
2018/5/10,-0.001756182,-0.008697749,-0.009447061,-0.009447061,0.004475425
2018/5/11,0.000457909,0.017242859,0.009157133,0.009157133,-0.001716091
2018/5/14,-0.000239361,0.00419036,0.00245212,0.00245212,0.010576918
2018/5/15,-0.002892719,-0.011551788,-0.006250601,-0.006250601,-0.000982156
2018/5/16,-0.000149875,-0.007025063,-0.004103054,-0.004103054,-0.012377751
2018/5/17,0.003908451,0.016764961,0.011293555,0.011293555,-0.005854353
2018/5/18,-0.000326333,-0.002874982,-0.000939214,-0.000939214,0.014683343
2018/5/21,-0.001471308,0.007236147,-0.001426702,-0.001426702,0.001922763
2018/5/22,-0.0043737,-0.008815799,-0.013714867,-0.013714867,-0.006483966
2018/5/23,-0.000808011,-0.006551552,-0.004328994,-0.004328994,-0.016241567
2018/5/24,-0.000871317,0.013083874,0.006396482,0.006396482,-0.006713733
2018/5/25,-0.001334571,0.011862716,0.003685831,0.003685831,-0.001644874
2018/5/28,-0.000160093,-0.020279383,-0.008292344,-0.008292344,0.004474294
2018/5/29,-0.00738657,-0.00959909,-0.013880201,-0.013880201,-0.003664187
2018/5/30,0.004050853,0.015357517,0.014876672,0.014876672,-0.021590008
2018/5/31,0.00029184,-0.011518467,-0.00505075,-0.00505075,0.020104835
2018/6/1,0.002624127,0.018024627,0.02029872,0.02029872,-0.004177495
2018/6/4,-0.000178987,0.023915544,0.010743354,0.010743354,0.017902137
2018/6/5,-0.002598623,0.005341356,0.000312662,0.000312662,0.004616606
2018/6/6,0.002168577,0.001872206,-0.000343078,-0.000343078,-0.005480609
2018/6/7,-0.005042101,-0.017097442,-0.013729169,-0.013729169,0.001135399
2018/6/8,-0.001784325,-0.014409298,-0.000960333,-0.000960333,-0.016011614
2018/6/11,0.001124563,0.010110172,0.022137565,0.022137565,0.003139458
2018/6/12,-0.000952778,-0.009680725,-0.006536718,-0.006536718,0.010259102
2018/6/13,0.000199282,-0.00441685,-0.005206248,-0.005206248,-0.005981058
2018/6/14,-0.001064356,0.000948899,0.003519887,0.003519887,-0.000123146
2018/6/15,-0.00391198,-0.005297096,-0.018857329,-0.018857329,-0.00124374
2018/6/19,-0.002584764,0.012455438,0.006870251,0.006870251,-0.025560583
2018/6/20,-0.005214045,-0.010536121,-0.00350086,-0.00350086,-0.000558547
2018/6/21,-0.001264167,0.003969639,0.005997118,0.005997118,-0.007418732
2018/6/22,-0.005005611,-0.010582308,-0.015878711,-0.015878711,0.001805431
2018/6/25,-0.001484163,-0.00604658,-0.016976334,-0.016976334,-0.018286935
2018/6/26,0.000842403,-0.021655218,-0.025150702,-0.025150702,-0.011726304
2018/6/27,0.00176642,-0.02526906,-0.014348332,-0.014348332,-0.02157324
2018/6/28,0.004513039,0.028128149,0.02400537,0.02400537,-0.011197247
2018/6/29,-0.009484548,-0.02332244,-0.029279446,-0.029279446,0.022569786
2018/7/2,0.00365493,-0.010709025,-0.002060836,-0.002060836,-0.037717072
2018/7/3,-0.001466832,-0.019857993,-0.011401423,-0.011401423,0.001089434
2018/7/4,0.00138912,-0.005194389,0.004626981,0.004626981,-0.008602513
2018/7/5,0.001537157,0.015591273,0.006432285,0.006432285,0.002503858
2018/7/6,0.005510123,0.028856816,0.022373843,0.022373843,0.011902894
2018/7/9,-0.00011632,0.001105146,0.003043733,0.003043733,0.028580544
2018/7/10,-0.006650794,-0.01168205,-0.008131635,-0.008131635,-2.23E-05
2018/7/11,0,0,0,0,-0.015761949
2018/7/12,0.005938088,0.026642665,0.016376593,0.016376593,0.017410095
2018/7/13,-0.000201456,-0.008103657,-0.010066632,-0.010066632,0.000904986
2018/7/16,-0.006312662,-0.014175233,-0.00727327,-0.00727327,-0.011344667
2018/7/17,-0.002168554,0.006530894,-0.003807925,-0.003807925,-0.007481526
2018/7/18,0.003046416,0.001936527,0.010822714,0.010822714,-0.003985032
2018/7/19,0.010991712,0.028273483,0.02735902,0.02735902,0.002232234
