Date,ppo_strategy,a2c_strategy,ddpg_strategy,ensemble_strategy,SSE 50 Index,turbulence
2018/4/11,0.989990222,0.989882079,0.954891538,0.954891538,0.957578363,38.6385302
2018/4/12,0.987962344,0.970937572,0.944158929,0.944158929,0.9453256,44.13278055
2018/4/13,0.983556225,0.962152956,0.927140983,0.927140983,0.937314205,28.81792764
2018/4/16,0.983426008,0.953269983,0.917986701,0.917986701,0.916105271,41.65081814
2018/4/17,0.985523792,0.961204912,0.919221495,0.919221495,0.906134843,35.84120644
2018/4/18,0.98653114,0.967845731,0.92717587,0.92717587,0.912345763,40.5949378
2018/4/19,0.983573012,0.966888861,0.923843658,0.923843658,0.922241038,38.89157126
2018/4/20,0.985127504,0.971441957,0.927473169,0.927473169,0.910147967,42.87887776
2018/4/23,0.988626602,0.980948655,0.937672902,0.937672902,0.916178499,42.66308662
2018/4/24,0.986245445,0.986867684,0.937737601,0.937737601,0.93609436,39.47398241
2018/4/25,0.984134307,0.97196999,0.932788853,0.932788853,0.929264167,48.0093091
2018/4/26,0.986688127,0.976796915,0.937795574,0.937795574,0.916558871,35.6724993
2018/4/27,0.986567078,0.971537709,0.939050347,0.939050347,0.912268238,35.50396496
2018/5/2,0.9891451,0.977380284,0.939127162,0.939127162,0.911988907,29.9306492
2018/5/3,0.987636082,0.968084258,0.934919589,0.934919589,0.915854543,30.81097883
2018/5/4,0.990671582,0.986429554,0.942189322,0.942189322,0.909796783,32.66696083
2018/5/7,0.992564001,1.001859447,0.953979333,0.953979333,0.922686902,33.62479622
2018/5/8,0.992421739,1.001089333,0.95342247,0.95342247,0.936105568,32.29997266
2018/5/9,0.993512529,1.025095423,0.960121437,0.960121437,0.934166338,32.70828932
2018/5/10,0.99176774,1.0161794,0.951051111,0.951051111,0.93834713,47.58544582
2018/5/11,0.992221879,1.033701238,0.959760013,0.959760013,0.936736841,36.19359117
2018/5/14,0.99198438,1.038032819,0.962113459,0.962113459,0.946644629,33.56347205
2018/5/15,0.989114848,1.026041684,0.956099672,0.956099672,0.945714877,38.79172864
2018/5/16,0.988966605,1.018833676,0.952176743,0.952176743,0.934009053,39.50049535
2018/5/17,0.992831932,1.035914383,0.962930204,0.962930204,0.928541035,34.39535999
2018/5/18,0.992507938,1.032936148,0.962025806,0.962025806,0.942175121,38.51202833
2018/5/21,0.991047653,1.040410626,0.960653282,0.960653282,0.943986701,35.92106813
2018/5/22,0.986713108,1.031238575,0.94747805,0.94747805,0.937865923,47.14841514
2018/5/23,0.985915833,1.024482361,0.943376423,0.943376423,0.922633511,46.70514152
2018/5/24,0.985056788,1.03788656,0.949410714,0.949410714,0.916439196,46.34117884
2018/5/25,0.98374216,1.050198713,0.952910081,0.952910081,0.914931769,57.13134801
2018/5/28,0.98358467,1.028901331,0.945008223,0.945008223,0.919025442,71.98994195
2018/5/29,0.976319353,1.019024815,0.931891319,0.931891319,0.915657961,46.43316481
2018/5/30,0.980274279,1.034674506,0.94575476,0.94575476,0.895888899,55.31679348
2018/5/31,0.980560362,1.022756641,0.940977989,0.940977989,0.913900597,54.74061602
